"ID","Sex_R","BirthYear","Age","AgeClass","SampleYear","IgG_TC","IgPlateRef","RTL","qPCRPlate","qPCRRow","Survival","Strongyles"
6435,"Females",2006,3,"Adults",2009,0.84715,46,1.71583661418459,94,"C",1,200
7216,"Males",2009,0,"Lambs",2009,0.17234,43,1.86853856699018,10,"B",1,900
7120,"Females",2009,0,"Lambs",2009,0.3056,42,1.74792235211941,10,"C",0,0
4658,"Females",2001,0,"Lambs",2001,0.05262,24,1.57284465011414,10,"E",0,600
6645,"Males",2007,0,"Lambs",2007,0.1416,48,1.42417164462368,10,"F",0,100
6421,"Females",2006,1,"Adults",2007,0.64511,46,2.17526494248177,10,"G",1,100
6150,"Females",2005,2,"Adults",2007,1.03329,45,2.07428062967357,94,"D",1,200
5103,"Females",2002,5,"Adults",2007,0.57408,44,1.33995687115096,94,"E",1,0
4607,"Females",2001,0,"Lambs",2001,0.05118,23,1.95345154018388,10,"C",0,400
6718,"Females",2007,0,"Lambs",2007,0.26819,47,1.94584397972978,10,"D",1,100
4588,"Females",2001,0,"Lambs",2001,0.10718,22,1.68302518074804,10,"E",0,600
6455,"Females",2006,1,"Adults",2007,0.796,46,1.89129931422052,10,"F",1,100
5768,"Males",2004,3,"Adults",2007,0.34598,45,2.15341026278156,10,"G",1,400
7230,"Females",2009,3,"Adults",2012,0.84008,20,1.53913871170782,94,"F",1,100
5130,"Females",2002,7,"Adults",2009,0.85946,48,1.76573519625179,94,"G",1,100
6857,"Females",2008,4,"Adults",2012,0.57717,20,1.75826509002371,10,"B",1,100
6705,"Males",2007,0,"Lambs",2007,0.31857,47,1.5240503548863,10,"C",0,1100
6682,"Females",2007,0,"Lambs",2007,0.18599,47,1.75338576970744,10,"F",1,700
5535,"Females",2003,4,"Adults",2007,0.5976,44,1.39002367570718,10,"G",1,0
6564,"Males",2007,0,"Lambs",2007,0.23468,49,2.02422948724847,94,"H",0,1600
6655,"Females",2007,0,"Lambs",2007,0.46817,48,2.41196487717791,10,"B",0,200
6451,"Males",2006,3,"Adults",2009,0.43477,46,2.09483256431188,10,"D",1,400
