"ID","Sex_R","BirthYear","Age","AgeClass","SampleYear","IgG_TC","IgPlateRef","RTL","qPCRPlate","qPCRRow","Survival"
6663,"Females",2007,0,"Lambs",2007,0.5552,48,1.72622114703661,12,"F",1
4655,"Males",2001,0,"Lambs",2001,0.10371,24,2.0115195329608,12,"G",0
4619,"Females",2001,0,"Lambs",2001,0.30419,23,2.11720883439239,95,"B",0
6624,"Females",2007,0,"Lambs",2007,0.15732,48,1.78020048882642,12,"E",0
6725,"Females",2007,0,"Lambs",2007,0.07707,47,1.71154017351445,95,"E",1
7198,"Females",2009,0,"Lambs",2009,0.09541,43,1.69247758223144,12,"D",1
4603,"Females",2001,0,"Lambs",2001,0.10038,23,1.55079122891035,12,"G",0
4664,"Males",2001,0,"Lambs",2001,0.05805,24,1.92416133262735,95,"F",0
4616,"Males",2001,0,"Lambs",2001,0.09388,23,1.98996840694874,12,"B",0
4642,"Females",2001,0,"Lambs",2001,0.14477,24,2.93496773508279,96,"A",0
4573,"Males",2001,0,"Lambs",2001,0.10574,22,1.95877657044936,12,"F",0
8800,"Females",2012,0,"Lambs",2012,0.23257,21,1.95578280010063,95,"A",1
7209,"Males",2009,0,"Lambs",2009,0.46021,43,1.79008411210953,12,"F",1
7150,"Females",2009,0,"Lambs",2009,0.42543,42,1.56095551823556,12,"G",0
7136,"Females",2009,0,"Lambs",2009,0.3593,42,1.73760458073619,95,"B",0
4646,"Females",2001,0,"Lambs",2001,0.04698,24,1.98030971207783,12,"F",0
4648,"Females",2001,0,"Lambs",2001,0.07264,24,1.88927589756518,13,"H",0
4649,"Females",2001,0,"Lambs",2001,0.16458,24,1.85018702805024,13,"E",0
4675,"Females",2001,0,"Lambs",2001,0.23055,24,1.57338337147944,95,"F",0
6762,"Females",2007,0,"Lambs",2007,0.07739,47,1.47511730458443,13,"C",0
6591,"Males",2007,0,"Lambs",2007,0.26389,49,1.65204512459772,13,"G",1
7158,"Males",2009,0,"Lambs",2009,0.1555,42,2.01693597379553,13,"H",1
7202,"Females",2009,0,"Lambs",2009,0.48035,43,1.61972103318299,13,"C",1
7181,"Males",2009,0,"Lambs",2009,0.06639,44,1.4664142293991,13,"G",0
7151,"Females",2009,0,"Lambs",2009,0.27868,42,1.42024338376901,13,"H",0
6776,"Females",2007,0,"Lambs",2007,0.62571,46,2.15575841225175,13,"E",1
7132,"Males",2009,0,"Lambs",2009,0.55859,42,1.44853017137197,13,"H",0
6730,"Females",2007,0,"Lambs",2007,0.14519,47,1.89913023823665,95,"A",1
7169,"Males",2009,0,"Lambs",2009,0.00374,43,1.71357516911481,14,"B",0
4643,"Males",2001,0,"Lambs",2001,0.15085,24,1.95082489649468,14,"H",0
4620,"Males",2001,0,"Lambs",2001,0.32891,23,1.60261505245505,14,"D",0
4654,"Females",2001,0,"Lambs",2001,0.13445,24,1.70838891330566,14,"E",0
7159,"Females",2009,0,"Lambs",2009,0.26055,43,1.86218399036069,14,"B",1
7118,"Females",2009,0,"Lambs",2009,0.43466,42,1.34495335000606,14,"H",1
4621,"Males",2001,0,"Lambs",2001,0.43333,23,1.43302262744613,14,"H",0
6713,"Females",2007,0,"Lambs",2007,0.35765,47,1.80732008721318,14,"B",1
4679,"Females",2001,0,"Lambs",2001,0.60244,24,1.61456479616558,14,"H",0
4662,"Males",2001,0,"Lambs",2001,0.13589,24,1.72687453505423,14,"D",0
7176,"Females",2009,0,"Lambs",2009,0.31264,43,1.88580358026015,95,"G",0
6574,"Males",2007,0,"Lambs",2007,0.18531,49,2.03929703289823,15,"D",0
4596,"Males",2001,0,"Lambs",2001,0.39744,23,2.06935377821707,15,"E",0
7107,"Males",2009,0,"Lambs",2009,0.2764,42,1.6861287508691,95,"H",1
6628,"Females",2007,0,"Lambs",2007,0.19901,48,1.97912377325401,15,"B",0
4585,"Males",2001,0,"Lambs",2001,0.10185,22,2.03358655712048,95,"B",0
6693,"Males",2007,0,"Lambs",2007,0.1212,47,1.52213570568732,15,"C",1
4600,"Males",2001,0,"Lambs",2001,0.2586,23,2.02460237002032,95,"C",0
7137,"Males",2009,0,"Lambs",2009,0.55607,42,1.65973830482881,15,"D",1
6710,"Females",2007,0,"Lambs",2007,0.17163,47,1.60558764418901,15,"H",0
7261,"Females",2009,0,"Lambs",2009,0.38885,44,1.64725313847013,15,"C",1
