"ID","Sex_R","BirthYear","Age","AgeClass","SampleYear","Strongyles","RTL","qPCRPlate","qPCRRow","Survival"
7176,"Females",2009,0,"Lambs",2009,200,1.88580358026015,95,"G",0
6574,"Males",2007,0,"Lambs",2007,400,2.03929703289823,15,"D",0
4596,"Males",2001,0,"Lambs",2001,600,2.06935377821707,15,"E",0
7107,"Males",2009,0,"Lambs",2009,1600,1.6861287508691,95,"H",1
6628,"Females",2007,0,"Lambs",2007,600,1.97912377325401,15,"B",0
6693,"Males",2007,0,"Lambs",2007,400,1.52213570568732,15,"C",1
6777,"Females",2007,0,"Lambs",2007,100,1.97885145371574,95,"E",1
8783,"Females",2012,0,"Lambs",2012,200,1.99362341524049,95,"F",1
6605,"Females",2007,0,"Lambs",2007,400,1.5259327089119,15,"H",1
4615,"Females",2001,0,"Lambs",2001,0,2.13870585647139,95,"G",0
6769,"Females",2007,0,"Lambs",2007,600,1.9003558115359,16,"B",0
6724,"Females",2007,0,"Lambs",2007,700,1.98674801888083,16,"C",1
4663,"Males",2001,0,"Lambs",2001,4200,2.1428027936461,16,"D",0
7234,"Females",2009,0,"Lambs",2009,400,2.00119704358897,16,"D",0
6666,"Females",2007,0,"Lambs",2007,100,1.92071325029746,16,"G",1
4590,"Females",2001,0,"Lambs",2001,500,1.80666802467459,95,"B",0
4578,"Males",2001,0,"Lambs",2001,600,1.6969591403102,16,"E",0
4673,"Females",2001,0,"Lambs",2001,1000,1.97107850281211,16,"D",0
7221,"Males",2009,0,"Lambs",2009,200,1.71646910792074,95,"F",0
7267,"Females",2009,0,"Lambs",2009,100,2.042022653596,16,"E",1
7113,"Females",2009,0,"Lambs",2009,1000,1.80864229827905,17,"A",0
6672,"Females",2007,0,"Lambs",2007,100,1.57191132180526,17,"C",0
4598,"Females",2001,0,"Lambs",2001,200,1.54082849396373,17,"F",1
4617,"Females",2001,0,"Lambs",2001,500,1.70144492136361,17,"G",0
7174,"Males",2009,0,"Lambs",2009,400,1.74238514121717,17,"A",1
6646,"Females",2007,0,"Lambs",2007,300,1.62024702483477,17,"G",1
6673,"Males",2007,0,"Lambs",2007,1800,1.89254826121045,18,"G",0
6644,"Females",2007,0,"Lambs",2007,100,1.76785912040012,18,"B",1
6708,"Females",2007,0,"Lambs",2007,700,1.59378461004598,18,"F",0
7230,"Females",2009,0,"Lambs",2009,200,1.64136128633313,18,"C",1
4665,"Males",2001,0,"Lambs",2001,800,1.54865202939839,18,"F",0
6599,"Males",2007,0,"Lambs",2007,700,2.29848230810483,18,"D",1
7189,"Males",2009,0,"Lambs",2009,300,1.59406169087768,18,"F",0
